image,description,tags,task
processed_images_roturas\51451c4ce214999a2c38583fcd28d6cb_nobg.png,jean skinny con roturas blancas desmechadas en ambas piernas como desgastado extremo. Tiro alto apretado. Color azul desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\06aef1dd2c7a3dafc0e005ac89b1278d_nobg.png,jean recto con roturas blancas simetricas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\fb1849b402ed01914ce983b60cbca5af_nobg.png,jean recto con roturas simetricas en ambas piernas. Tiro alto. Color celeste claro desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\0d988cd56d70af712c2819e078214bb7_nobg.png,jean mom con roturas blancas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, mom",roturas
processed_images_roturas\39b183db6e3820e5d9e8cc292371f250_nobg.png,jean recto con roturas blancas simetricas en ambas piernas. Tiro alto. Color celeste claro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\d262795516394a75e0e02c2fe9f50c99_nobg.png,jean recto con una rotura blanca en la pierna izquierda y otra rotura chica en la pierna derecha. Tiro alto. Color celeste fuerte o azul claro desgastado vintage.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\f921f41827554c33d1b400ea6b5cc1b1_nobg.png,jean recto con roturas medianas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\824ee95e3bf76abc413d47510617eb30_nobg.png,jean recto con roturas medianas en ambas rodillas. Tiro alto. Color celeste.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\5cbfa80b64a6f4dae68b2a3cb07b357f_nobg.png,jean recto con roturas blancas simetricas desmechadas grandes y bien abiertas en ambas piernas. Tiro alto. Color celeste claro desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\aed91c8bbaf39534217f9b2f8796e51e_nobg.png,jean liso recto . Tiro alto apretado. Color gris desgastado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\8b15989dfe3e5a7702a949221fb7eb40_nobg.png,jean liso skinny . Tiro alto apretado. Color celeste claro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\ddc0e69ce9c761c23575f2e3651d7b80_nobg.png,jean liso skinny . Tiro alto apretado. Color azul desgastado.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\6fd25959ec88bf3fe30f76238dfac18e_nobg.png,jean liso skinny . Tiro alto apretado. Color azul.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\c725265d4308d3f78c41907e75110f8f_nobg.png,jean liso skinny . Tiro alto apretado. Color azul.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\de516633b3251a32cbc9b5a603148f0a_nobg.png,jean liso skinny . Tiro alto apretado. Color negro o gris.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\f50344f12904bcafd0fad696c940c713_nobg.png,jean liso recto . Tiro alto. Color gris desgastado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\8a51b494904d89d1a93df2daee4daf95_nobg.png,jean liso recto . Tiro alto apretado. Color azul desgastado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\95e9282f4d494f65c2032f7b7594e5a9_nobg.png,jean liso de recto . Tiro alto apretado. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\6a80a1ddd8b6035be8df5e07e01f0c61_nobg.png,jean liso acampanado tipo cargo . Tiro alto apretado. Color celeste manchado.,"Tipo jean: liso, cargo",roturas
processed_images_roturas\b0f443c07584ff1bec5169abc674d4e8_nobg.png,jean liso recto . Tiene estrellas como decoracion. Tiro alto apretado. Color celeste claro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\d57a243ca321df465ef9f745cc3c6d55_nobg.png,jean liso recto . Tiene costuras horizontales que cruzan ambas piernas a la altura del muslo y de la pantorrilla. Tiro alto apretado. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\86e782dcfc1f6accf1f4f837b9a4b568_nobg.png,jean liso recto tipo cargo . Tiene los tobillos elastizados. Tiro alto apretado. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\0a1c5068bdff91ce604d2af2a4cc09b5_nobg.png,jean liso palazzo . Tiro medio. Color azul.,"Tipo jean: liso, palazzo",roturas
processed_images_roturas\ca8fc1eea6a0839359b0e4228edc4e4f_nobg.png,jean liso recto tipo cargo . Tiene doble boton. Tiro alto apretado. Color azul destenido manchado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\a02719bf9ee91e50bb90daf72fac6f13_nobg.png,jean liso baggy . Tiene brillos. Tiro medio. Color azul vintage.,"Tipo jean: jean liso,",roturas
processed_images_roturas\7f29e65df5fdb7f74f785007b280e2bb_nobg.png,jean liso mom tipo cargo . Tobillos elastizados. Tiro alto. Color celeste.,"Tipo jean: liso, cargo",roturas
processed_images_roturas\dcfd6ca649d1a2a71d4220bfc121de53_nobg.png,jean liso skinny . Tiro alto. Color celeste.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\86b19c6b0049e3cabb33fb86f6e1f006_nobg.png,jean liso acampanado . La parte inferior está formada por piernas de jean ancho en denim celeste claro. Tiro alto. Color negro.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\22b8b364481f3f1aab99309801943158_nobg.png,jean liso acampanado . Tiro alto. Color azul.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\4234569bdfd8f1a44d66957b89506560_nobg.png,jean liso acampanado . Tiro alto. Color azul vintage.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\d0da8b7dbb336ee2ac726388543823f6_nobg.png,jean liso palazzo . Tiro alto. Color azul. Elegante,"Tipo jean: liso, palazzo",roturas
processed_images_roturas\7663274b490bc1326fc61ae363cb0510_nobg.png,jean liso acampanado . Tiro alto. Color azul.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\d4fb161dcebe207dfe27a9b53cd76063_nobg.png,jean liso acampanado . Tiro alto. Color celeste fuerte.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\3a7c87be32bf88e24831e0aa97acf08d_nobg.png,jean recto con roturas medianas simetricas en ambas rodillas. Tiro medio. Color celeste claro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\16477a196e4aa64b29f78900a9a9d580_nobg.png,jean recto con una rotura muy chica en la pierna izquierda. Tiro alto. Color celeste claro desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\4056b0f5e0239b6f575859fd74124968_nobg.png,jean recto con una rotura chica en la pierna izquierda. Tiro alto. Color celeste claro desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\ce521c555b01ddefa818d4f271e21858_nobg.png,jean recto con roturas grandes en ambas piernas. Tiro alto. Color celeste desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\b1a81411384803facdce5776d094459a_nobg.png,jean recto con roturas chicas blancas simetricas en ambas piernas. Tiro alto. Color azul desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\a1b30e75649c4261292732f8896e339c_nobg.png,"jean recto con roturas blancas, chicas y casi simetricas en ambas piernas. Tiro alto. Color azul desgastado.","Tipo jean: roturas, recto",roturas
processed_images_roturas\c83ec5f7a2fd30c4a78fa5f00ebd9318_nobg.png,jean recto con roturas blancas simetricas en ambas piernas. Tiro alto. Color celeste.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\a64a5a00c759680bc3bbbb104d157819_nobg.png,jean recto con roturas blancas simetricas chicas en ambas rodillas. Tiro alto. Color azul.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\181d40b8f1ecb79eb560c1fef5d30923_nobg.png,jean recto con roturas desmechadas grandes en ambas piernas. Tiro alto. Color negro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\b5ef0f99da847d6e3c55bb8776a5df32_nobg.png,jean recto con roturas blancas simetricas desmechadas grandes en ambas piernas. Color negro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\81278e3a299dab4a0f5527a307d6fd83_nobg.png,jean recto con roturas en ambas piernas. Color negro.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\54d51f18e0246af5f9f0c23b59c5b934_nobg.png,jean recto con roturas simetricas chicas en ambas piernas. Color blanco.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\1986341b50792d15172540dfb82081e5_nobg.png,jean recto con roturas medianas en ambas piernas. Color blanco.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\b81f6008837f5214c926d9a2fcd34dd2_nobg.png,jean recto con roturas blancas simetricas desmechadas en ambas piernas. Tiro alto. Color blanco.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\232cb3225c227b32102ba9a3094cc915_nobg.png,jean con una rotura en la pierna izquierda. Tiro alto. Color celeste fuerte o azul claro desgastado.,"Tipo jean: roturas,",roturas
processed_images_roturas\8944d946cad6f0de6d7fbc20afb1c147_nobg.png,jean skinny con roturas chicas en ambas piernas. Tiro alto apretado. Color negro desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\991ec5c8c14bf8153ce9f2e068aa39db_nobg.png,jean skinny con roturas simetricas chicas en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\f60e57fa4a3721c1ad2c37ffcb91c377_nobg.png,jean skinny con roturas medianas en ambas piernas. Tiro alto apretado. Color blanco.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\063858f9cb0e6e6cc1e3b16a1091aca4_nobg.png,jean skinny con roturas chicas simetricas en ambas piernas. Tiro medio. Color negro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\2f27638f10f244f9e87fc7df3803b994_nobg.png,jean skinny con roturas simetricas en ambas piernas. Tiro alto apretado. Color negro liso.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\7b6eed31b9b089bb38324a4979963bce_nobg.png,jean skinny con roturas blancas simetricas en ambas piernas. Tiro alto apretado. Color celeste claro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\cf931c9d9e629f46400522de522e2246_nobg.png,jean skinny con tres roturas en la pierna derecha y una en la izquierda. Tiro alto. Color azul.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\5133ca177c89a74db89e31f7f319872d_nobg.png,jean skinny con roturas blancas medianas en ambas piernas. Tiro alto apretado. Color azul o celeste fuerte desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\5b11e51b00c2961a0e5c41bb9b4a4195_nobg.png,jean skinny con roturas chicas en ambas piernas. Tiro alto. Color azul.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\5efb5c71c27878a19dbe727a2a2745c2_nobg.png,jean skinny con roturas desmechadas en ambas piernas como desgastado extremo. Tiro alto apretado. Color negro desgastado.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\a36cd4f3692151311cb7ad0dd1b30576_nobg.png,jean skinny con roturas simetricas en ambas piernas. Tiro alto apretado. Color celeste claro.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\0798e605f26ce4fb4eda508fab328efe_nobg.png,jean skinny con roturas desmechadas en ambas piernas como desgastado extremo. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\851b7422336634f0edf1ce9871e91501_nobg.png,jean skinny con roturas chicas en ambas piernas. Tiro alto apretado. Color bordo.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\2b647e006c29efc825153e70fa7ab5ed_nobg.png,jean acampanado con roturas blancas desmechadas en ambas piernas. Tiro alto apretado. Color azul desgastado.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\c94fe25bb3150eebd56c68cf774ee1f8_nobg.png,jean acampanado con roturas blancas desmechadas en ambas piernas.Color azul.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\a8c595b3e6eecad820e8b846376aea74_nobg.png,jean acampanado con roturas blancas desmechadas chias en ambas piernas. Color azul claro.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\7d4527816fa83a18dc49073a0ce9f0b1_nobg.png,jean acampanado con roturas blancas desmechadas simetricas chicas en ambas piernas. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\6db7ee1e1ca052a5a54970f1f15a9250_nobg.png,jean acampanado con roturas blancas desmechadas simetricas en ambas piernas. Color celeste desgastado.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\b73a2774cde7ecb106e61f6125b9ab2d_nobg.png,jean acampanado con roturas simetricas muy chicas en ambas piernas. Tiro alto apretado. Color azul claro.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\c0f5f2f2f734e78f4e3a6f7118d97b17_nobg.png,jean acampanado con roturas simetricas muy chicas en ambas piernas. Color azul.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\22e41950d72d3078be6ce3a17c71ee96_nobg.png,jean acampanado con roturas simetricas muy chicas en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\cdbea5913487e4a2e496cd819375eeea_nobg.png,jean acampanado con roturas simetricas chicas en ambas piernas y otra rotura en la pierna izquieda. Tiro alto apretado. Color negro.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\d77f97a68cb376a9e049027ea6a3d4a4_nobg.png,jean acampanado con roturas desmechadas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, acampanado",roturas
processed_images_roturas\f33726a1c1a586db496f4210e05b9476_nobg.png,jean cargo con roturas desmechadas en ambas piernas. Es wide leg por su silueta. Tiro alto apretado. Color negro.,"Tipo jean: roturas, wide leg",roturas
processed_images_roturas\6824d422a58109e99883495bc0205e96_nobg.png,jean cargo con roturas blancas chicas en ambas piernas. Tiro medio. Color azul claro.,"Tipo jean: roturas, cargo",roturas
processed_images_roturas\c920bd747e6e7f3df4e7c95636db7345_nobg.png,jean cargo con roturas simetricas chicas en ambas piernas. Es recto por su silueta. Color celeste.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\4b0f1e215563ec0c50041439db3c49bf_nobg.png,jean cargo con roturas blancas en ambas piernas. Es recto por su silueta. Tiro alto. Color gris.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\d2971145fd05451fc45ac82ac4ab6004_nobg.png,jean cargo con roturas desmechadas en ambas piernas. Color azul vintage.,"Tipo jean: roturas, cargo",roturas
processed_images_roturas\e98d416b96e7ed336cd08d14d45a8ff6_nobg.png,jean cargo con varias roturas chicas en ambas piernas. Color celeste desgastado.,"Tipo jean: roturas, cargo",roturas
processed_images_roturas\2fd6b64f3b7fede49e8dbdaa0f23a462_nobg.png,jean cargo con roturas blancas desmechadas chicas en ambas piernas. Es skinny por su silueta. Tiro alto apretado. Color celeste.,"Tipo jean: roturas, skinny",roturas
processed_images_roturas\cc12cc9466f851af97d2d0dc84bc194d_nobg.png,jean cargo palazzo con una roturas rotura mediana en la pierna derecha y una chica en la pierna izquierda. Tiro bajo. Color negro desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\38a69ab57e3e7b724ea2c0ed6939ab9c_nobg.png,jean cargo con roturas simetricas muy chicas en ambas piernas. Color celeste.,"Tipo jean: roturas, cargo",roturas
processed_images_roturas\34102d93953302c564c667b138ea5a93_nobg.png,jean cargo con roturas blancas desmechadas en ambas piernas. Tiro alto. Color azul claro.,"Tipo jean: roturas, cargo",roturas
processed_images_roturas\d114b5eea7ef91c03ad644bcdf69659a_nobg.png,jean palazzo con roturas en la pierna izquierda. Tiro medio. Color azul.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\1b4d0788f5946253d39b5e158fca7b09_nobg.png,jean palazzo con muchas roturas blancas simetricas desmechadas en ambas piernas. Color celeste claro.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\f5854593a3b055626ffc7ae9ca67609e_nobg.png,jean palazzo con roturas blancas desmechadas en ambas piernas. tiro alto. Color azul.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\bb3fff279e9de7789fa861d2c923f19e_nobg.png,jean palazzo con roturas simetricas en ambas piernas. Tiro alto apretado. Color azul claro o desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\483d74ebbcc50f8b5c44768dbd80b6f8_nobg.png,jean palazzo con roturas medianas simetricas en ambas piernas. Color azul claro desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\320d7c54a7d31ecdcf63fa9a5d06d82c_nobg.png,jean palazzo con muchas roturas blancas desmechadas en ambas piernas. Color azul desgastado.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\9f5be75e228c9a653be280772e44156d_nobg.png,jean palazzo con roturas simetricas desmechadas en ambas piernas. Tiro alto apretado. Color negro.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\b2c46925ca37e9dfd5d8c88e63921096_nobg.png,jean palazzo con rotura grande desmechada en la pierna derecha y una rotura chica en la pierna izquierda. Color negro.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\2d153cef2f64990b85b0ec6e71d886b3_nobg.png,jean palazzo con muchas roturas simetricas en ambas piernas. Color blanco.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\8213826889f3633773043a64846fb321_nobg.png,jean palazzo con roturas blancas desmechadas en ambas piernas. Tiro alto. Color celeste.,"Tipo jean: roturas, palazzo",roturas
processed_images_roturas\ec1047a1939ea9ac3bbf1be4ea65da97_nobg.png,Jean liso recto. Tiro alto. Color celeste.,"Tipo jean: liso, recto",roturas
processed_images_roturas\dc1b6e31a47410f1f641aec632d23a21_nobg.png,Jean liso recto. Tiro alto. Color negro desgastado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\99f2b5a30f647f9da3c05c0bf64af23c_nobg.png,Jean liso recto. Tiro alto. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\699f6b6e83f8c513c862e1ec6d28b0c2_nobg.png,Jean liso recto. Tiro alto. Color blanco.,"Tipo jean: liso, recto",roturas
processed_images_roturas\459f8ea18b7aa82ca8e2a4e2e0f28f79_nobg.png,Jean recto con roturas en ambas piernas. Tiro alto. Color negro desgastado.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\a1c12ab1a75b2fff7bda55fcf7722601_nobg.png,Jean recto con roturas desmechadas en ambas piernas. Tiro alto. Color blanco.,"Tipo jean: roturas, recto",roturas
processed_images_roturas\f57f9e39b1d93998ef46ca16f79c5214_nobg.png,Jean liso recto. Tiro alto. Color celeste oscuro o azul claro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\b9fbf8f9852ca45d6376728bc3a7eff4_nobg.png,Jean liso recto. Tiro alto. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\8fda515d1b15354f005f019428a36dc7_nobg.png,Jean liso recto. Tiro alto. Color celeste.,"Tipo jean: liso, recto",roturas
processed_images_roturas\7a767cce22f8732b37b2ce55427ed9a5_nobg.png,Jean mom con una rotura en la pierna derecha. Tiro medio. Color celeste oscuro.,"Tipo jean: roturas, mom",roturas
processed_images_roturas\8b15989dfe3e5a7702a949221fb7eb40_nobg.png,Jean liso skinny. Tiro alto. Color celeste.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\bfe40d1d8c49e18ce63a32b17b35172c_nobg.png,Jean liso skinny. Tiro medio. Color azul.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\94d023165c61821b31731f24d3b356bc_nobg.png,Jean liso skinny. Tiro alto. Color azul.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\61cd7a2c09318b4a1f1cab1b5948413d_nobg.png,Jean liso acampanado. Tiro alto. Color azul oscuro.,"Tipo jean: liso, acampanado",roturas
processed_images_roturas\ba634209409e450f796b1da65ce438bb_nobg.png,Jean liso skinny. Tiro alto. Color negro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\274c7bb6ba535c9721f20441e815146b_nobg.png,Jean liso skinny. Tiro bajo. Color azul oscuro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\85113e837cb8776456c850362ba515f4_nobg.png,Jean liso skinny. Tiro medio. Color blanco.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\f54fe9ae8b2d2953a87513940913214a_nobg.png,Jean liso skinny. Tiro alto. Color blanco.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\ee012babcb18946ff53d1ca393ab5ea2_nobg.png,Jean liso skinny. Tiro bajo. Color blanco.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\ffbee06830a65b924ecd46ffbae0cf32_nobg.png,Jean liso skinny. Tiro bajo. Color gris desgastado.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\6f7ad3514267be99c6b61d7fcf3bad6d_nobg.png,Jean liso skinny. Tiro medio. Color gris claro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\bfb95763ab76028be82cc33c24d6eb55_nobg.png,Jean liso skinny. Tiro alto. Color gris oscuro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\84f5afa865d19dd19321a436c2453d60_nobg.png,Jean liso skinny. Tiro medio. Color rosa.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\736f4993ae686d21563dedecebcb7267_nobg.png,Jean liso skinny. Tiro medio. Color verde.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\301270805323dca10e2f6fb857be03f7_nobg.png,Jean liso skinny. Tiro alto. Color azul desgastado.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\73a71e77acee35e3f324f9ae317d91d4_nobg.png,Jean liso skinny. Tiro medio. Color azul.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\376e3d635dc6257d0ec30e5b54a68612_nobg.png,Jean skinny. Tiro medio. Color celeste.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\b7a26b83a136c8fa769353747c73e2d3_nobg.png,Jean liso skinny. Tiro alto. Color celeste.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\9f37a5debcc440f50fd388a4a9b06c9f_nobg.png,Jean liso skinny. Tiro bajo. Color negro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\dcf7ca2229347d54a8ae38a071a862e8_nobg.png,Jean liso skinny. Tiro medio. Color negro.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\82563ea8825dcd3f1a56891148ec53b0_nobg.png,Jean liso skinny. Tiro medio. Color blanco.,"Tipo jean: liso, skinny",roturas
processed_images_roturas\530e0333499416c8e090bc8d5bbfd67e_nobg.png,Jean liso recto. Tiro alto. Color negro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\04d925bf7b7094150d360ae6a847d72c_nobg.png,Jean liso recto. Tiro alto. Color celeste oscuro o azul claro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\9c9fd249c83d28539bd14a593ff44ff1_nobg.png,Jean liso recto. Tiro medio. Color celeste.,"Tipo jean: liso, recto",roturas
processed_images_roturas\6ec73a30d72be0a0711d04f5f36c2d76_nobg.png,Jean liso recto. Tiro alto. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\1690cd7c6b3756790d60da51ccb188bf_nobg.png,Jean liso recto. Tiro alto. Color azul.,"Tipo jean: liso, recto",roturas
processed_images_roturas\0cb3cd053dd06a0b496948d31a69dacb_nobg.png,Jean liso recto. Tiro bajo. Color negro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\47945f5fed90f1f1397b79c11d602133_nobg.png,Jean liso recto. Tiro medio. Color negro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\52c97f6c50e93a9f4048d470c046fb2f_nobg.png,Jean liso recto. Tiro alto. Color negro.,"Tipo jean: liso, recto",roturas
processed_images_roturas\684c9451a9176b83bf73b137d80cb645_nobg.png,Jean liso recto. Tiro alto. Color blanco.,"Tipo jean: liso, recto",roturas
processed_images_roturas\b78bea24d1d8f9b9f2b12aa350136750_nobg.png,Jean liso recto. Tiro alto. Color blanco.,"Tipo jean: liso, recto",roturas
processed_images_roturas\654fc20acad007a70776026fac2ba872_nobg.png,Jean liso recto. Tiro alto. Color gris desgastado.,"Tipo jean: liso, recto",roturas
processed_images_roturas\7634ce4ce8f478bee84cdbfeb3044fd7_nobg.png,Jean liso palazzo. Tiro alto. Color celeste oscuro.,"Tipo jean: liso, palazzo",roturas
processed_images_roturas\a39d2d3f42017898ff1ffb929da4a25e_nobg.png,Jean liso palazzo. Tiro alto. Color celeste.,"Tipo jean: liso, palazzo",roturas
processed_images_roturas\dacbe13d2ac4b232fb32482f847f9ebc_nobg.png,Jean liso palazzo. Tiro alto. Color azul.,"Tipo jean: liso, palazzo",roturas
